address,tooltip,url,value
"4000 South Main St., Los Angeles, 90037","Accelerated - 1",http://projects.latimes.com/value-added/school/los-angeles/accelerated/,1
"322 South Avenue 18, Los Angeles, 90031","Albion Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/albion-street-elementary/,1
"2210 Riverside Dr., Los Angeles, 90039","Allesandro Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/allesandro-elementary/,1
"319 East Sherman Dr., Carson, 90746","Ambler Avenue Elementary - 1",http://projects.latimes.com/value-added/school/carson/ambler-avenue-elementary/,1
"2611 West 52nd St., Los Angeles, 90043","Angeles Mesa Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/angeles-mesa-elementary/,1
"19410 South Annalee Ave., Carson, 90746","Annalee Avenue Elementary - 1",http://projects.latimes.com/value-added/school/carson/annalee-avenue-elementary/,1
"126 East Bloom St., Los Angeles, 90012","Ann Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/ann-street-elementary/,1
"423 North Pacific Ave., San Pedro, 90731","Barton Hill Elementary - 1",http://projects.latimes.com/value-added/school/san-pedro/barton-hill-elementary/,1
"19424 South Broadacres Ave., Carson, 90746","Broadacres Avenue Elementary - 1",http://projects.latimes.com/value-added/school/carson/broadacres-avenue-elementary/,1
"8111 Calhoun Ave., Panorama City, 91402","Burton Street Elementary - 1",http://projects.latimes.com/value-added/school/panorama-city/burton-street-elementary/,1
"732 South Cabrillo Ave., San Pedro, 90731","Cabrillo Avenue Elementary - 1",http://projects.latimes.com/value-added/school/san-pedro/cabrillo-avenue-elementary/,1
"7451 Camellia Ave., North Hollywood, 91605","Camellia Avenue Elementary - 1",http://projects.latimes.com/value-added/school/north-hollywood/camellia-avenue-elementary/,1
"10935 South Spinning Ave., Inglewood, 90303","Century Park Elementary - 1",http://projects.latimes.com/value-added/school/inglewood/century-park-elementary/,1
"14041 Chase St., Panorama City, 91402","Chase Street Elementary - 1",http://projects.latimes.com/value-added/school/panorama-city/chase-street-elementary/,1
"6017 Franklin Ave., Los Angeles, 90028","Cheremoya Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/cheremoya-avenue-elementary/,1
"4400 Coliseum St., Los Angeles, 90016","Coliseum Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/coliseum-street-elementary/,1
"7615 Cowan Ave., Los Angeles, 90045","Cowan Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/cowan-avenue-elementary/,1
"1946 West Crestwood St., Rancho Palos Verdes, 90275","Crestwood Street Elementary - 1",http://projects.latimes.com/value-added/school/rancho-palos-verdes/crestwood-street-elementary/,1
"1620 West 162nd St., Gardena, 90247","Denker Avenue Elementary - 1",http://projects.latimes.com/value-added/school/gardena/denker-avenue-elementary/,1
"21250 Santa Fe Ave., Carson, 90810","Dominguez Elementary - 1",http://projects.latimes.com/value-added/school/carson/dominguez-elementary/,1
"806 Euclid Ave., Los Angeles, 90023","Euclid Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/euclid-avenue-elementary/,1
"2660 Ruth Swiggett Ave., Los Angeles, 90032","Farmdale Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/farmdale-elementary/,1
"5939 Second Ave., Los Angeles, 90043","Fifty-Ninth Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/fifty-ninth-street-elementary/,1
"510 West 111th St., Los Angeles, 90044","Figueroa Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/figueroa-street-elementary/,1
"5701 Fishburn Ave., Maywood, 90270","Fishburn Avenue Elementary - 1",http://projects.latimes.com/value-added/school/maywood/fishburn-avenue-elementary/,1
"1963 East 103rd St., Los Angeles, 90002","Florence Griffith Joyner Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/florence-griffith-joyner-elementary/,1
"4231 Fourth Ave., Los Angeles, 90008","Forty-Second Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/forty-second-street-elementary/,1
"3333 Manitou Ave., Los Angeles, 90031","Gates Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/gates-street-elementary/,1
"1940 East 111th St., Los Angeles, 90059","Grape Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/grape-street-elementary/,1
"13060 Harding St., Sylmar, 91342","Harding Street Elementary - 1",http://projects.latimes.com/value-added/school/sylmar/harding-street-elementary/,1
"4041 Hillcrest Dr., Los Angeles, 90008","Hillcrest Drive Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/hillcrest-drive-elementary/,1
"5108 Holmes Ave., Los Angeles, 90058","Holmes Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/holmes-avenue-elementary/,1
"3140 Hyde Park Blvd., Los Angeles, 90043","Hyde Park Blvd. Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/hyde-park-blvd-elementary/,1
"5250 Bakman Ave., North Hollywood, 91601","Lankershim Elementary - 1",http://projects.latimes.com/value-added/school/north-hollywood/lankershim-elementary/,1
"8715 La Salle Ave., Los Angeles, 90047","La Salle Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/la-salle-avenue-elementary/,1
"19302 Leapwood Ave., Carson, 90746","Leapwood Avenue Elementary - 1",http://projects.latimes.com/value-added/school/carson/leapwood-avenue-elementary/,1
"1260 West 36th Pl., Los Angeles, 90007","Lenicia B. Weemes Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/lenicia-b-weemes-elementary/,1
"2481 West 11th St., Los Angeles, 90006","Leo Politi Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/leo-politi-elementary/,1
"1626 South Orchard Ave., Los Angeles, 90006","Magnolia Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/magnolia-avenue-elementary/,1
"1850 West 96th St., Los Angeles, 90047","Manhattan Place Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/manhattan-place-elementary/,1
"3989 South Hobart Blvd., Los Angeles, 90062","Martin Luther King Jr. Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/martin-luther-king-jr-elementary-3/,1
"7812 McKinley Ave., Los Angeles, 90001","McKinley Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/mckinley-avenue-elementary/,1
"4156 Menlo Ave., Los Angeles, 90037","Menlo Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/menlo-avenue-elementary/,1
"1123 West 223rd St., Torrance, 90502","Meyler Street Elementary - 1",http://projects.latimes.com/value-added/school/torrance/meyler-street-elementary/,1
"1400 East 68th St., Los Angeles, 90001","Miramonte Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/miramonte-elementary-2/,1
"10018 Montara Ave., South Gate, 90280","Montara Avenue Elementary - 1",http://projects.latimes.com/value-added/school/south-gate/montara-avenue-elementary/,1
